bien_id,com_code,bien_type,bien_carrez_1,bien_surfbat,bien_numpieces
01173AP7332,1173,Appartement,92.45,105,3
01202AC16324,1202,Appartement,71.29,71,3
01354AX262,1354,Maison,138.05,101,5
01399AK80105,1399,Appartement,45.12,30,1
01004AO105710,1004,Appartement,70.45,75,3
01034AS18325,1034,Appartement,78.54,77,4
01354AX8135,1354,Appartement,52.58,58,2
01247B1481216,1247,Appartement,30.98,22,2
01160AM518116,1160,Appartement,95.66,106,5
01401C769,1401,Appartement,87.23,87,4
01004BT370136,1004,Appartement,92.47,92,5
01033AB21913,1033,Appartement,89.2,89,5
01033AI12617,1033,Appartement,28.8,40,1
01031AN920,1031,Appartement,46.68,46,2
01160AM517420,1160,Appartement,2.36,2,0
01033AL74056,1033,Appartement,68.92,68,3
01173AM63105,1173,Appartement,68.45,68,3
01281AO2907,1281,Maison,102.52,103,4
01419BV33101,1419,Appartement,59.67,59,2
01173AM6350,1173,Appartement,77.86,77,4
01401C22842,1401,Maison,105.12,106,4
01160AE3521307,1160,Appartement,63.27,63,3
01354BD22917,1354,Appartement,133.24,133,4
01143B22649,1143,Appartement,67.33,63,3
01419AM443,1419,Appartement,68.69,65,3
01033AC137309,1033,Appartement,58.3,59,2
01354AX158213,1354,Appartement,111.06,112,5
01034AK3803,1034,Appartement,117.63,117,5
01313BI634,1313,Appartement,85.12,82,4
01071AA10218,1071,Appartement,42.01,42,2
01143AT5012,1143,Maison,96.46,96,5
01034A27822,1034,Appartement,57.5,58,3
01143AE44214,1143,Appartement,90.4,90,4
01071AT26730,1071,Appartement,42.59,42,2
01143AK4310,1143,Appartement,50.11,35,1
01173AI6543,1173,Appartement,32.6,33,2
01202F6337,1202,Maison,103.62,88,4
01158B1531,1158,Appartement,135.89,60,2
01354BD29717,1354,Appartement,166.98,166,5
01135B4801,1135,Appartement,58.13,65,2
01443BC4749,1443,Appartement,38.67,39,2
01244C14321,1244,Maison,120.5,110,5
01258A7193,1258,Appartement,86.8,90,3
01262AB854,1262,Appartement,41.82,47,1
01194AD13926,1194,Appartement,56.63,56,2
01030AA1401,1030,Appartement,79.06,77,3
01244G265510,1244,Appartement,65.82,65,3
01142AC6449,1142,Appartement,38.43,44,3
01248AE15230,1248,Appartement,85.95,85,4
01450A63211,1450,Appartement,48.42,48,2
02173AO32128,2173,Maison,80.87,82,4
02408AS12213,2408,Appartement,165.11,156,6
02408AV80428,2408,Appartement,71.5,72,4
02408AC3163,2408,Appartement,82.54,82,3
02408AP723,2408,Appartement,39.97,41,2
02304AE37527,2304,Appartement,146.68,158,4
02408AC1695,2408,Appartement,31.6,40,2
02173BN87,2173,Maison,92.0,80,4
02408AB1353,2408,Appartement,73.5,65,3
02408AC1992,2408,Appartement,23.82,30,1
02408AC1692,2408,Appartement,37.3,40,2
02408AC1694,2408,Appartement,49.1,53,2
02408AE381,2408,Appartement,30.94,31,1
02408BR13775,2408,Maison,65.66,67,3
02408BR13760,2408,Appartement,27.19,27,1
02408AC2641,2408,Appartement,46.92,53,2
